lambda,I
280.0,0.006944444444444444
286.25,0.001736111111111111
288.3333333333333,0.0
292.5,0.008680555555555556
296.6666666666667,0.020833333333333332
300.8333333333333,0.09895833333333333
305.0,0.2465277777777778
309.1666666666667,0.4739583333333333
313.3333333333333,0.6475694444444444
317.5,0.8333333333333334
321.6666666666667,0.96875
325.8333333333333,1.0
330.0,0.9618055555555556
334.1666666666667,0.9288194444444444
338.3333333333333,0.8715277777777778
342.5,0.78125
346.6666666666667,0.6684027777777778
350.83333333333337,0.4982638888888889
355.0,0.3541666666666667
359.1666666666667,0.2673611111111111
363.33333333333337,0.2013888888888889
367.5,0.1545138888888889
371.6666666666667,0.10416666666666667
375.83333333333337,0.057291666666666664
380.0,0.024305555555555556
